query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
1a,5,5,168.49,1,5520.12,8613.52,78668.61,141287.16,1661.1243583023254,1
1b,5,5,5032.3,1,138003.0,170884.62,198749280.4,288709690.28,10339726.078552842,1
1c,5,5,57.09,1,5520.12,6338.36,16595.71,25862.269999999997,362.87694618820495,1
1d,5,5,4282.81,1,138003.0,196527.09,199028658.51,306224987.51,10495375.548498565,1
2c,5,5,96.16,1,2640.66,2942.6099999999997,22482.43,32231.46,271.11884593905415,1
2d,5,5,1.11,1,14.03,18.59,10.71,13.06,0.12348081999174468,1
32a,6,5,921.13,1,59160.11,70861.65,62350.4,89013.17,447.36643974197057,1
3b,4,4,6.62,1,94.94,98.67999999999999,82.56,82.56,0.9070819835817729,1
3c,4,4,1.21,1,2.86,4.13,2.67,2.67,0.02933513682368379,1
4a,5,5,4.44,1,20.04,27.24,84.75,87.0,0.9367067900452002,1
4b,5,5,7.85,1,203.0,306.64,144.96,230.12,1.2940794872070922,1
4c,5,5,1.44,1,50.32,74.18,40.03,45.080000000000005,0.5786126930024695,1
5a,5,5,2.61,1,4.96,11.57,34.18,53.559999999999995,0.7646483035481308,1
5b,5,5,30.57,1,130.13,249.75,4341.61,6111.76,131.6519293996795,1
5c,5,5,1.01,1,104.97,204.71999999999997,37.33,55.26,1.1692333769313241,1
6a,5,5,1.01,1,1757.72,2140.35,2.03,2.03,0.005019425007968592,1
6d,5,5,1.78,1,512.38,548.88,26.9,31.849999999999998,0.30778824138829863,1
6e,5,5,1.01,1,1301.46,1900.2,2.03,2.03,0.005019425007968592,1
8a,7,8,1.18,1,6094.48,7956.879999999999,9498.15,24382.77,91.86585101954323,1
8b,7,8,1.18,1,322.46,514.64,595.08,995.33,7.161134081666465,1
8c,7,8,6.97,1,3995.11,4299.9400000000005,1122.44,1397.1400000000003,21.562051438759006,1
8d,7,8,49.97,1,3861.79,4329.1,18636.16,20818.629999999997,300.31429150340324,1
9a,8,9,1.43,1,5520001.96,6533269.09,3179913.11,7287592.43,10609.815183278204,1
9b,8,9,1.69,1,1707747.71,2608843.55,1259550.25,2755539.16,3786.924703651778,1
9c,8,9,1.14,1,3092231.37,3459057.74,93219.58,209987.46,468.9258381793163,1
9d,8,9,1.22,1,183206.16,212011.88,1275.86,2992.08,7.353409723023121,1
10a,7,7,21.3,1,828.98,1168.6299999999999,2721.78,6124.37,22.427647359419176,1
10b,7,7,5.76,1,4024.48,4704.47,30289.66,41708.74,83.72188822042038,1
10c,7,7,2.6,1,110.32,172.61999999999998,470.54,971.7900000000001,4.235330143256027,1
17a,7,9,1.32,1,3167.44,3415.9900000000002,331.18,439.95,3.9276958000115787,1
17c,7,9,13.87,1,44494.9,60369.62,6410.04,13088.75,56.7515922204399,1
17d,7,9,2.9,1,9961.66,15508.85,4355.07,6828.049999999999,52.92666767412771,1
17f,7,9,3.43,1,1749.4,2077.16,1208.94,1642.47,6.798500629522407,1
18a,7,9,73.04,1,1871.92,4161.110000000001,13469.3,28206.299999999996,200.47994649638431,1
18b,7,9,2.17,1,5038.07,9330.9,7498.81,12272.84,42.173019755078535,1
18c,7,9,2.45,1,876.38,1149.12,554.43,1009.2099999999999,5.056330420950688,1
*,*,*,*,*,*,*,*,*,*,*
2a,5,5,1.0,0,31.4,35.98,0,0,0.0,1
2b,5,5,1.0,0,6.15,12.27,4.54,4.54,0.04988071954289303,1
32b,6,5,1.0,0,539.35,661.6700000000001,7.0,12.33,0.3905415164640291,1
3a,4,4,1.0,0,8.26,9.68,0,0,0.0,1
6b,5,5,1.0,0,221.88,385.32,12672.18,12672.18,139.2285146645503,1
6c,5,5,1.0,0,1523.56,1834.6399999999999,0,0,0.0,1
6f,5,5,1.0,0,19.76,22.740000000000002,0,0,0.0,1
17b,7,9,1.0,0,8762.88,11001.66,857.97,1686.65,11.503106896934693,1
17e,7,9,1.0,0,957.15,1223.97,106.67,224.16000000000003,1.5495443703123064,1
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
7a,8,11,10.93,1,2525.4,5044.49,808.0,2131.7799999999997,3.300922720142028,2
7b,8,11,7.74,1,5465.69,12021.02,3378.39,6896.8099999999995,15.297146597702927,2
7c,8,11,12.9,1,2391.32,4634.380000000001,1572.12,3930.99,7.796457185927532,2
11a,8,10,1.12,1,906.65,1414.8200000000002,3512.64,8713.53,52.60758495270656,2
11b,8,10,2.61,1,5465.04,10763.88,223778.07,240029.19,647.9051244242971,2
11c,8,10,11.2,1,92.38,373.68999999999994,8462.15,20442.820000000003,59.73529375060505,2
11d,8,10,4.96,1,138.12,241.1,1177.71,3163.52,10.657925034545768,2
12a,8,10,4.13,1,433.09,993.5999999999999,14470.46,38167.840000000004,49.11961725523266,2
12b,8,10,62.58,1,138003.0,296384.15,5576838.23,9389990.54,106060.59419982303,2
12c,8,10,5.34,1,105.96,251.24,6155.03,13724.029999999999,20.483060230906226,2
13b,9,11,1.78,1,3086.59,4657.63,1175972.13,3471308.59,3460.259471586719,2
13c,9,11,2.98,1,10636.58,21391.08,21351226.59,36307184.44,13692.62953439396,2
13d,9,11,1.09,1,39.95,96.85000000000001,3456.9,7512.62,21.89209086456461,2
14a,8,10,1.21,1,469.3,720.11,6018.74,10179.33,22.565190362905785,2
14b,8,10,1.05,1,722.55,1323.5099999999998,14501.64,32641.67,75.6845856557508,2
14c,8,10,1.39,1,229.42,313.47999999999996,6580.87,8833.679999999998,11.335373049121817,2
15a,9,14,3.4,1,105969.56,190750.03,486322.47,1482339.57,1119.7833625426038,2
15b,9,14,3.1,1,18034.11,28231.120000000003,117618.65,227033.48999999996,408.45193688484756,2
15c,9,14,3.03,1,738368.89,1105226.97,69828316.87,83628421.83,16524.526438902387,2
15d,9,14,6.52,1,47447.05,56825.840000000004,341063.43,751945.53,444.5070473642521,2
16a,8,11,2.59,1,39482844.91,42130008.919999994,20203.9,60789.119999999995,69.7997430966973,2
16c,8,11,1.8,1,213451.3,229099.93,630.44,848.9200000000001,3.62551302732733,2
16d,8,11,1.84,1,121872.85,136675.59,824.16,2066.1999999999994,5.854639434084826,2
19a,10,13,1.58,1,41681106.91,50857658.419999994,1265618.74,4937015.3100000005,5037.132976760612,2
19b,10,13,1.22,1,392430.27,1423280.4299999997,1727446.54,4376148.36,3861.49852295966,2
19c,10,13,55.09,1,4483192.22,8938564.21,498084.4,1434365.6499999997,1268.671154885102,2
19d,10,13,2.06,1,2513041.15,5085320.75,96100.48,221424.47,146.31094122072807,2
20a,10,12,1.01,1,560980.42,694841.2400000001,25581536.8,78056888.8,43148.295207030504,2
20b,10,12,1.6,1,11106.01,22014.64,98299426.28,160180194.59,13152.45698579127,2
20c,10,12,241.18,1,40260.59,88089.59999999999,373019.02,839146.14,346.3754242665354,2
21a,9,14,1.96,1,1636.41,2639.5699999999997,28427.6,64635.119999999995,185.2678039618302,2
21b,9,14,2.17,1,3965.18,5060.79,78420.09,116755.41,196.18806183816085,2
21c,9,14,1.06,1,3225.29,4121.39,71557.09,103785.13,195.90215401851202,2
22a,11,16,2.66,1,4353.82,12665.85,672842.82,1844230.87,1912.772762228805,2
22b,11,16,3.03,1,47328.76,71908.74,3687833.06,6552180.31,3520.8691407991882,2
