query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
1a,5,5,221.39,1,978.12,2172.16,97567.83,189490.88,1734.1793711787825,1
1b,5,5,3546.36,1,718.4,1523.56,198553462.56,239258862.18,9737362.432557294,1
1c,5,5,109.66,1,539.73,1350.6200000000001,16757.7,24133.66,274.99336519542703,1
1d,5,5,4177.54,1,718.4,1558.63,198553462.56,258014454.85999998,9848987.630666023,1
2c,5,5,96.16,1,2092.0,5796.72,22482.43,43968.229999999996,827.7454114733247,1
4a,5,5,1.59,1,190.95,496.03999999999996,34.43,67.72,1.9294918595475292,1
4b,5,5,1.22,1,771.5,1464.3,88.71,197.41000000000003,3.056839923730519,1
4c,5,5,1.37,1,1540.67,4150.67,17.62,36.36,0.9628668783466674,1
5a,5,5,1.51,1,84.82,249.63,27.34,44.04,0.9512418885200564,1
5c,5,5,1.04,1,2.03,5.88,2.15,2.15,0.023621926655775335,1
6b,5,5,2.91,1,255.81,492.08,17154.62,18483.16,250.97332642071316,1
6d,5,5,139.34,1,255.81,712.8,17651.74,29390.100000000002,370.2191010500238,1
8a,7,8,29.44,1,207.07,865.71,5429.58,15850.18,112.05349460750195,1
8b,7,8,4.03,1,602.59,1884.5900000000001,3688.94,5411.59,187.0356333379486,1
8c,7,8,1.16,1,48.18,179.11,41.93,141.83999999999997,2.2425136683747726,1
8d,7,8,1.1,1,7.55,30.549999999999997,37.39,95.55,0.26858605366128896,1
9a,8,9,1.4,1,161.8,860.02,565.7,1490.5800000000002,4.436813468920364,1
9b,8,9,1.02,1,120.27,625.11,718.36,2201.33,10.311995790990327,1
9c,8,9,1.42,1,119.4,635.64,270.92,671.1100000000001,1.0472890371929078,1
9d,8,9,2.02,1,707.06,2638.4700000000003,973.66,2161.48,3.6377618840246617,1
10a,7,7,4.81,1,533.82,2323.6800000000003,1688.56,3459.7799999999997,12.25944133082193,1
17a,7,9,1.31,1,17903.45,30250.300000000003,88.29,178.7,1.1719619138117499,1
17b,7,9,7.14,1,21691.54,34326.33,124.65,310.48,0.630950491549932,1
17c,7,9,104.61,1,21691.54,34326.33,6178.16,15239.66,29.591598347663446,1
17d,7,9,21.67,1,21691.54,34326.33,1022.02,2435.46,4.835145088273277,1
17f,7,9,3.43,1,21691.54,34326.33,68.92,122.19999999999999,0.923143708674938,1
18a,7,9,1.03,1,808.15,1931.94,3741.49,5240.18,11.228364885846498,1
18b,7,9,12.43,1,293.73,873.81,6223.44,13884.759999999998,146.8456883743714,1
18c,7,9,2.91,1,281.86,1109.44,428.34,1046.58,7.887246204612713,1
*,*,*,*,*,*,*,*,*,*,*
2a,5,5,1.0,0,2092.0,5796.72,0,0,0.0,1
2b,5,5,1.0,0,2092.0,5796.72,4.54,4.54,0.04988071954289303,1
2d,5,5,1.0,0,2092.0,5796.72,10.71,10.71,0.11767015557365296,1
32a,6,5,1.0,0,5.17,13.78,0,0,0.0,1
32b,6,5,1.0,0,2201.33,8533.33,18.33,36.66,1.070706913763572,1
3a,4,4,1.0,0,50.2,92.61,0,0,0.0,1
3b,4,4,1.0,0,50.2,95.02000000000001,4.63,4.63,0.21958179281213422,1
3c,4,4,1.0,0,50.2,97.96000000000001,0,0,0.0,1
5b,5,5,1.0,0,4.21,12.57,0,0,0.0,1
6a,5,5,1.0,0,8.86,17.77,7.58,7.58,0.0832810251398963,1
6c,5,5,1.0,0,9.25,19.66,32.01,53.05,1.6752780371328948,1
6e,5,5,1.0,0,5.2,12.370000000000001,4.11,4.11,0.045156334211737974,1
6f,5,5,1.0,0,256.23,735.61,10.12,10.12,0.11118785942160297,1
10b,7,7,1.0,0,67.42,321.86999999999995,1052.36,3026.3300000000004,13.456417278839059,1
10c,7,7,1.0,0,2.81,12.56,57.45,152.33,0.924650918266529,1
17e,7,9,1.0,0,17903.45,30250.300000000003,330.39,597.61,1.4010002102945494,1
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
7a,8,11,1.75,1,992.86,2489.42,1654.74,2691.16,10.10167698975494,2
7b,8,11,1.2,1,652.21,2229.26,913.98,2110.44,6.420815543130001,2
7c,8,11,5.5,1,705.3,2166.38,2338.69,4490.52,12.878844250438437,2
11a,8,10,1.03,1,964.66,4227.72,2738.17,8194.1,129.7062627601718,2
11b,8,10,1.92,1,527.2,2397.86,1724.5,3466.2599999999998,45.900177208181915,2
11c,8,10,1.29,1,5270.42,17491.31,1788.74,3787.9199999999996,25.637916929483236,2
11d,8,10,1.01,1,2218.02,8423.92,1929.37,4415.08,31.06881713379556,2
12a,8,10,3.38,1,219.72,1114.09,4093.67,11417.349999999999,149.731198491486,2
12b,8,10,27.72,1,3008.64,6451.4400000000005,1824127.0,2425817.14,13377.249111715748,2
12c,8,10,1.97,1,320.28,1422.5,3534.26,13070.52,154.29976173608975,2
13a,9,11,2.31,1,3787.2,7390.089999999999,4690.08,10448.050000000001,25.020283577516164,2
13b,9,11,1.83,1,2433.83,7725.18,17564.67,19899.849999999995,47.231931889243505,2
13c,9,11,2.88,1,2744.09,4512.75,663316.71,666771.1199999999,1643.9219630123218,2
13d,9,11,2.25,1,3787.2,7725.99,3024.59,7080.4400000000005,12.84153468683405,2
14a,8,10,4.49,1,546.94,2499.22,8594.43,22585.960000000003,190.10231260297738,2
14b,8,10,16.71,1,918.0,3398.8199999999997,18912.64,25393.309999999998,164.0312838485968,2
14c,8,10,1.34,1,601.37,3009.1000000000004,2756.52,7695.849999999999,100.47603398977049,2
15a,9,14,5.24,1,3029.0,11918.890000000001,7596.69,21766.43,49.989677364654995,2
15b,9,14,13.28,1,2680.5,10287.26,8866.35,27342.870000000003,48.1554378557886,2
15c,9,14,3.28,1,4617.67,22266.260000000002,9223.05,26352.409999999996,53.39635317570556,2
15d,9,14,4.91,1,750.42,3758.49,18671.69,26309.26,59.47987854493491,2
16a,8,11,2.59,1,5624.5,21392.83,17634.06,55148.17999999999,61.865549263963224,2
16c,8,11,1.19,1,5624.5,21599.050000000003,571.64,768.5400000000001,3.6689788511024344,2
19a,10,13,1.86,1,997.27,2861.7900000000004,7490.09,22016.75,50.22010554499118,2
19b,10,13,3.15,1,1743.75,5526.7300000000005,54052.37,83577.31,74.65366316973568,2
19c,10,13,1.61,1,540.22,2808.85,12303.99,28504.16,31.49152685430536,2
19d,10,13,3.16,1,10815.75,34548.659999999996,74628.47,195828.64,176.9418409068715,2
20a,10,12,37212.94,1,980056.85,3453703.34,109139727.83,373115167.91999996,70684.17825780649,2
20b,10,12,55207.23,1,400630.74,823508.9600000001,284566825.98,521314532.15999997,64973.66678254433,2
20c,10,12,242.11,1,643376.05,2095430.19,408207.59,980928.86,414.2953216630947,2
21a,9,14,1.56,1,3571.53,10596.58,16689.89,42879.31,575.7594488943839,2
21b,9,14,1.93,1,825.9,3587.67,21501.22,77026.43000000001,924.4686856765771,2
21c,9,14,1.69,1,3921.84,9738.099999999999,13134.36,37599.02999999999,281.3488670923078,2
22a,11,16,13.38,1,6137.83,18461.48,230107.1,903315.3299999998,896.7926210909426,2
22b,11,16,21.1,1,2740.2,8013.36,1206243.84,2555760.5100000002,2733.7170948025473,2
22c,11,16,2.83,1,34440.64,79381.48000000001,1316626.37,2418065.6300000004,2168.0705389889463,2
22d,11,16,59.27,1,30390.08,53910.49,413155.48,767968.0599999999,783.5055044219822,2
23a,11,16,6.77,1,547895.67,1085820.6199999999,10992694.01,22656951.119999997,6804.999604911571,2
23b,11,16,16.05,1,18055.53,66965.75,2416163.72,4042828.56,2046.9661017291342,2
23c,11,16,7.73,1,550865.85,1091386.24,12032858.62,21227315.08,4739.789978184515,2
24a,12,18,5.01,1,36052.93,67401.81999999999,11732247.33,17700272.98,1834.9732316766065,2
24b,12,18,16.14,1,52528.56,192968.43000000005,6243796.74,17978341.02,4349.547190213431,2
25a,9,14,1.68,1,2267.02,8366.87,6539.81,18484.41,89.43100033678273,2
25b,9,14,2.1,1,2341.87,7657.25,4296.66,10477.159999999998,53.33559879501252,2
25c,9,14,1.98,1,2441.95,11035.56,10756.2,25661.16,69.69185400276247,2
26a,12,17,335.03,1,653454.28,1565739.9400000002,8011857.91,21098406.6,8815.08546221792,2
26b,12,17,39.67,1,1268131.26,2394671.31,14058722.97,40941907.559999995,13111.95159607042,2
26c,12,17,304.09,1,1213144.04,4548223.98,8239046.42,20913559.990000002,4356.7541112199115,2
33a,14,19,15.96,1,33789.4,122264.03,12734952.48,25317466.920000006,1501.5343612174556,2
33b,14,19,8.52,1,36427.35,100051.86,21797145.2,51082672.60000001,2727.391431312511,2
33c,14,19,1.99,1,6263.16,25080.76,742858.03,2364533.68,759.4745688550762,2
*,*,*,*,*,*,*,*,*,*,*
16b,8,11,1.0,0,21230.1,51480.4,1428.44,2108.7599999999998,5.037313033615228,2
16d,8,11,1.0,0,5624.5,21746.410000000003,667.48,1181.1200000000001,3.3063486079418163,2
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
27a,12,21,23.2,1,29897.69,106512.89,3089328.19,9641827.6,5775.134046361646,3
27b,12,21,5.88,1,55173.22,129316.69000000002,4990178.35,17008055.37,8451.61491187585,3
27c,12,21,150.83,1,62736.27,215789.8,7872601.3,19990086.37,5980.813255468387,3
28a,14,23,2.94,1,249244.57,865958.3,98228017.96,387491912.51,37644.13792920839,3
28b,14,23,5.31,1,21027.52,67971.17000000001,54946343.36,159768735.44,17085.85760938577,3
28c,14,23,11.15,1,138697.26,483043.12000000005,262217135.62,596778577.72,47113.929385964366,3
30a,12,21,9.14,1,11035.76,40382.76,1467047.67,4635493.579999999,1911.3147035756344,3
30b,12,21,1511.49,1,113364.89,278192.34,28389251.43,48065270.419999994,6548.337371862532,3
30c,12,21,15.02,1,17067.79,78730.33,1731333.23,5509617.02,2126.5389169679906,3
31a,11,20,20.75,1,79890.54,161516.96999999997,948014.06,1954628.6600000001,1155.526427295754,3
31b,11,20,19.99,1,92531.75,176863.08999999997,2632667.36,3873924.9499999997,3315.7095892248244,3
31c,11,20,21.21,1,30955.79,85686.14,287285.97,1086856.17,1099.5919692084829,3
29a,17,28,3.24,1,4714506.86,19134156.64,1258820701230.65,3172870092304.11,10316371.28218444,3
29b,17,28,3.09,1,2360133.14,11331069.410000002,932314880035.03,2503819610115.73,8879048.374392655,3
29c,17,28,26.68,1,3911004.12,14901214.54,176408841652.82,459313928079.39996,880606.6008617028,3
*,*,*,*,*,*,*,*,*,*,*
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
