query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
1a,5,5,221.39,1,5520.12,6099.66,178406.45,307924.61,2384.514677343769,1
1b,5,5,3546.36,1,138003.0,144102.77,198749280.4,238911392.06,9848979.541285444,1
1c,5,5,57.09,1,7386.2,13737.74,912365.07,1706452.21,12145.209054662908,1
1d,5,5,4177.54,1,138003.0,146611.82,199028658.51,256520758.89,10032088.710167183,1
3c,4,4,1.21,1,5.49,6.76,3.92,3.92,0.043068815111925264,1
4c,5,5,1.06,1,3271.18,3453.58,7845.46,7852.02,86.34015797107992,1
5b,5,5,30.57,1,518.4,702.55,1770.15,1959.89,85.29984955425385,1
5c,5,5,1.01,1,410.81,555.87,38.76,56.75,1.18509306228247,1
8a,7,8,1.18,1,18564.29,25089.21,23451.65,54474.46,181.53000105887753,1
8b,7,8,1.18,1,2494.65,7226.32,32275.26,37255.15,365.6804488522736,1
8d,7,8,22.84,1,9946.81,10558.82,2008.89,2187.8300000000004,96.18339879216798,1
9a,8,9,1.98,1,65545079.37,76229332.67,2481376.0,6654529.419999999,20103.827951463292,1
9b,8,9,2.98,1,27281750.0,40730938.0,2251218.6,5458204.0200000005,22392.058123916915,1
9c,8,9,1.18,1,15884275.83,17535751.68,81114.58,172600.12,381.7626964548721,1
10a,7,7,1.3,1,179014.83,234069.52,149473.78,274327.12,815.8264652568997,1
10b,7,7,1.17,1,219851.72,239387.87,587966.78,928543.65,7193.755851901895,1
10c,7,7,1.51,1,1799917.98,2001990.9500000002,620.37,1473.74,7.211432669021656,1
17c,7,9,7.87,1,46896.43,87855.34,28039.85,54161.15,110.25819467671681,1
18b,7,9,1.95,1,224911.67,411344.08999999997,89847.79,121306.52,528.3461878449617,1
18c,7,9,2.65,1,2685.46,3817.51,710.06,1455.19,8.727073316711998,1
*,*,*,*,*,*,*,*,*,*,*
2a,5,5,1.0,0,35.58,47.989999999999995,2.0,2.0,0.02197388526118636,1
2b,5,5,1.0,0,11.28,19.9,9.56,9.56,0.10503517154847081,1
2c,5,5,1.0,0,3878.48,4223.07,18939.45,27784.28,229.95658207948594,1
2d,5,5,1.0,0,16.45,28.839999999999996,11.05,11.05,0.12140571606805464,1
32a,6,5,1.0,0,6039366.67,7420387.2299999995,101008985.5,101035648.27,250050.3539723627,1
32b,6,5,1.0,0,649.06,796.91,11.44,18.439999999999998,0.4576717359369535,1
3a,4,4,1.0,0,24.72,26.14,0,0,0.0,1
3b,4,4,1.0,0,120.51,124.25,0,0,0.0,1
4a,5,5,1.0,0,964.42,991.7199999999999,494.33,516.64,5.486339573205648,1
4b,5,5,1.0,0,3236.4,3346.33,380.0,530.48,2.592911926572876,1
