query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
1a,5,5,221.39,1,2385.27,3579.31,178406.45,307402.18,2341.3782232635203,1
1b,5,5,3546.36,1,718.4,1369.5600000000002,198553462.56,206639457.26999998,9487274.252497852,1
1c,5,5,109.66,1,2458.0,3772.9300000000003,912980.07,1705176.6099999999,12062.302668551216,1
1d,5,5,4177.54,1,718.4,1498.1399999999999,198553462.56,216310213.2,9572982.119308054,1
2c,5,5,98.24,1,2092.0,5612.38,18939.45,39521.05,786.5831476137565,1
4a,5,5,1.37,1,376.59,702.01,34.43,82.58,1.9719396337026742,1
4b,5,5,1.15,1,1000.33,1448.33,380.0,573.5,4.53551665680591,1
4c,5,5,1.06,1,2510.0,5108.67,7835.86,7857.23,86.93706050358597,1
5a,5,5,1.24,1,616.16,791.8599999999999,13.56,22.98,0.7465918398679934,1
5c,5,5,1.04,1,5.92,9.98,2.34,2.34,0.025709445755588037,1
6b,5,5,2.91,1,383.0,863.22,18545.31,20131.56,266.8899773813492,1
6d,5,5,139.34,1,256.65,715.96,19000.86,24423.75,465.94665214782793,1
8a,7,8,28.96,1,17379.0,43589.41,28187.09,35840.73,94.39474764529574,1
8b,7,8,3.21,1,2751.0,7465.9400000000005,9486.77,24874.250000000004,296.58968787524026,1
8d,7,8,1.03,1,24.16,57.34,64.78,176.1,0.4740092248708986,1
9a,8,9,1.97,1,727.0,2701.83,882.32,2252.8799999999997,5.4353345202874666,1
9b,8,9,2.38,1,1555.38,5669.56,1575.21,3775.2200000000003,12.179272339258224,1
9c,8,9,1.07,1,8514.0,34865.8,987.79,2678.11,7.937124911401238,1
10a,7,7,1.62,1,603.71,2802.1800000000003,21510.0,46518.479999999996,96.34419133569166,1
17c,7,9,7.87,1,26430.26,44762.06,14937.99,26472.73,63.48710943589341,1
18b,7,9,11.66,1,592.62,1611.0700000000002,9684.87,19576.43,191.4859859308867,1
18c,7,9,1.88,1,20503.2,33865.19,574.19,1245.0800000000002,8.875128042551632,1
*,*,*,*,*,*,*,*,*,*,*
2a,5,5,1.0,0,2092.0,6142.5,2.0,2.0,0.02197388526118636,1
2b,5,5,1.0,0,5228.0,9412.0,9.56,9.56,0.10503517154847081,1
2d,5,5,1.0,0,2092.0,6030.38,11.05,11.05,0.12140571606805464,1
32a,6,5,1.0,0,9.13,29.090000000000003,0,0,0.0,1
32b,6,5,0.24,0,4388.0,12960.0,18.33,36.66,1.070706913763572,1
3a,4,4,1.0,0,50.2,71.9,0,0,0.0,1
3b,4,4,1.0,0,50.2,71.2,4.63,4.63,0.21958179281213422,1
3c,4,4,1.0,0,50.2,94.44,0,0,0.0,1
5b,5,5,1.0,0,8.35,20.88,0,0,0.0,1
6a,5,5,1.0,0,10.37,20.159999999999997,2.09,2.09,0.005167782397366679,1
6c,5,5,1.0,0,33.0,50.35,32.01,50.79,1.622265149328952,1
6e,5,5,1.0,0,6.0,15.870000000000001,20.54,20.54,0.2256718016323839,1
6f,5,5,1.0,0,256.65,736.8699999999999,0,0,0.0,1
8c,7,8,0.32,0,115.22,384.22,71.73,245.58999999999997,2.5048528877934353,1
9d,8,9,0.96,0,4354.6,17861.760000000002,2001.76,4223.9800000000005,5.336765566248454,1
10b,7,7,1.0,0,129.74,490.64,2889.95,6484.379999999999,28.23591489615366,1
10c,7,7,0.86,0,3.68,16.42,87.5,235.81,1.2031922038456997,1
17a,7,9,1.0,0,26722.22,46519.62,56.51,113.13999999999999,0.8312562069105276,1
17b,7,9,1.0,0,52306.0,115869.9,300.05,547.69,1.313174926852489,1
17d,7,9,1.0,0,26430.26,49226.16,2550.77,5043.0199999999995,10.093396522024932,1
17e,7,9,1.0,0,26722.22,46519.62,35.94,82.65,0.4623708327971498,1
17f,7,9,1.0,0,26430.26,44762.06,47.74,93.02000000000001,0.6964262176252848,1
18a,7,9,1.0,0,41204.0,51740.09,4519.43,6248.860000000001,4.9943523822832905,1
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
12a,8,10,3.21,1,25123.5,49453.03,24281.14,56969.3,221.22073800690873,2
12b,8,10,3.07,1,95454.6,199136.83000000002,2955728.01,4157724.4499999997,14224.022689014759,2
12c,8,10,1.71,1,43557.0,89730.56,9434.64,24919.47,173.8404379129933,2
13a,9,11,3.02,1,10256570.0,13362677.120000001,13225.72,38950.6,43.724872589559006,2
13b,9,11,1.01,1,47809.18,110382.73999999999,62246.73,76041.62000000001,174.16355826341635,2
13c,9,11,1.03,1,47809.18,56438.020000000004,833787.1,1254866.6900000002,1734.8188547430518,2
13d,9,11,1.01,1,10256570.0,15759766.120000001,3517.52,9577.63,19.835441537742557,2
14a,8,10,4.21,1,23916.0,48196.06,22756.32,34685.36,124.39835978385048,2
14b,8,10,2.58,1,12774.0,21399.4,110110.78,160006.94,234.66919726595577,2
14c,8,10,1.19,1,24334.88,60327.729999999996,39972.14,75130.9,87.76443835698497,2
15a,9,14,2.26,1,4309.0,16560.0,15926.77,57738.37,222.64305720453027,2
15b,9,14,4.06,1,3771.0,14008.0,189540.5,344155.95999999996,192.5598493042525,2
15c,9,14,1.46,1,9187.0,38949.5,11499.05,34892.81,63.956055018038626,2
15d,9,14,4.91,1,5681.0,11209.37,45496.89,89146.51000000001,152.8809563087366,2
16a,8,11,2.59,1,22625.56,56946.28,174415.07,250046.53,577.8307497526256,2
16c,8,11,1.19,1,22625.56,56946.28,384.58,1232.0700000000002,3.7448120899398765,2
19a,10,13,2.25,1,82720.0,466358.67,2366973.01,6023452.159999999,4128.522531097345,2
19b,10,13,4.34,1,14051.0,44749.08,11173554.83,21698448.25,29406.111677567937,2
19c,10,13,1.57,1,195936.0,740238.51,350832.39,604111.54,305.6353977548235,2
20a,10,12,761.94,1,87986607.0,207633476.09,720827163.18,1642656509.1499999,811696.433668838,2
20b,10,12,34436.64,1,41145539.0,53624642.47,6710343563.5,7381252362.719999,289953.94398505485,2
20c,10,12,174.53,1,41145539.0,98948865.97,916391.72,1820721.97,709.1033160894133,2
21b,9,14,1.61,1,31960.0,60199.53,47772.88,143203.62999999998,850.9077225467255,2
22a,11,16,6.0,1,523511.0,1248151.01,56905400.05,71730704.78999999,34660.644133163674,2
22b,11,16,9.56,1,70725.0,239136.31,115474568.66,207055510.07999998,82827.22247289731,2
22c,11,16,1.28,1,2842381.0,3187853.8,305042216.14,318966138.84999996,48169.01310329065,2
23a,11,16,7.1,1,1641411.5,5759924.5,100792417.93,180838192.88,30689.132554021402,2
23b,11,16,6.93,1,1641411.5,4888992.83,122090306.46,216888183.42,77984.95778059447,2
23c,11,16,6.98,1,795004.78,2826881.4699999997,12609915.8,35461842.95,17986.41201409189,2
24b,12,18,3.82,1,424620.0,1746821.72,161717646.78,522810163.0899999,95169.02656186276,2
25b,9,14,1.44,1,34190.0,103342.68,5897427.03,13995394.74,6916.29749189098,2
25c,9,14,1.38,1,378769.25,938784.4,13124.36,33768.21,95.41600363681422,2
26a,12,17,35.34,1,41145539.0,119282628.9,749388621.03,1304616738.97,184494.3216282319,2
26b,12,17,20.94,1,21175984.0,49456932.21,5853794149.63,7589446018.04,547224.6501457086,2
26c,12,17,30.7,1,125474088.0,510451560.82,67879150.44,222589675.96000004,21145.40630968626,2
33a,14,19,15.96,1,448098.0,2406706.52,38796667.59,97124401.36,5578.038896501352,2
