query_name,plan_size,true_cost,compass_est,psql_est,plan
1a,4,90816,13851,181,"['ct', 'mc', 'mi_idx', 'it']"
1b,4,402584,208556,16759,"['ct', 'mc', 'mi_idx', 'it']"
1c,4,15128,6271,910,"['mc', 't', 'ct', 'mi_idx']"
1d,4,402584,209857,16759,"['ct', 'mc', 'mi_idx', 'it']"
2a,4,198226,78368,128,"['mk', 'k', 'mc', 'cn']"
2b,4,195620,61703,125,"['mk', 'k', 'mc', 'cn']"
2c,4,190396,55284,125,"['mk', 'k', 'mc', 'cn']"
2d,4,258708,157860,161,"['mk', 'k', 'mc', 'cn']"
32a,5,348189,2253071,91571,"['t1', 'ml', 'lt', 'mk', 'k']"
32b,5,92456,64338,42,"['mk', 'k', 't1', 'ml', 'lt']"
3a,3,14717,44323,347,"['mk', 'k', 'mi']"
3b,3,7593,18881,3045,"['mi', 'mk', 'k']"
3c,3,25114,57319,762,"['mk', 'k', 'mi']"
4a,4,54221,15150,425,"['mi_idx', 'it', 'mk', 'k']"
4b,4,3039,2909,350,"['mi_idx', 'mk', 'k', 'it']"
4c,4,5164,6799,5,"['mi_idx', 'it', 'mk', 'k']"
5a,4,340724,60818,137909,"['mi', 'it', 'mc', 'ct']"
5b,4,29408,30399,11957,"['t', 'mc', 'ct', 'mi']"
5c,4,2180,84203,2270,"['mc', 'ct', 'mi', 'it']"
6a,4,1262,182665,789,"['k', 'mk', 'ci', 'n']"
6b,4,507,79337,2138,"['ci', 'n', 't', 'mk']"
6c,4,49,74654,22,"['k', 'mk', 't', 'ci']"
6d,4,10664,279692,12356,"['ci', 'n', 'mk', 'k']"
6e,4,1262,182665,789,"['k', 'mk', 'ci', 'n']"
6f,4,835190,4614456,3578,"['k', 'mk', 't', 'ci']"
7a,7,3953645,19711037,49478,"['ml', 'lt', 'ci', 'pi', 'it', 'n', 't']"
7b,7,370526,4476575,1053,"['t', 'ml', 'lt', 'ci', 'pi', 'it', 'n']"
7c,7,15627320,19173682,205606,"['ml', 'lt', 'ci', 'pi', 'it', 'n', 'an']"
8a,6,1471,13867,591,"['n', 'ci', 'rt', 'mc', 'cn', 'an']"
8b,6,141,221,5,"['t', 'mc', 'ci', 'rt', 'n', 'cn']"
8c,6,91275539,698298210,24045737,"['t', 'mc', 'ci', 'rt', 'cn', 'n']"
8d,6,84249037,690483510,24045737,"['t', 'mc', 'ci', 'rt', 'cn', 'n']"
9a,7,2193,8248084,17,"['ci', 'n', 'rt', 'mc', 't', 'cn', 'an']"
9b,7,1115,2575571,14,"['ci', 'n', 'rt', 't', 'mc', 'cn', 'an']"
9c,7,46043,115037597,1194,"['ci', 'n', 'rt', 'mc', 'cn', 't', 'an']"
9d,7,1823897,339088031,13926,"['ci', 'rt', 'mc', 'cn', 't', 'n', 'an']"
10a,6,203239,20614,382,"['ci', 'rt', 'mc', 'ct', 'cn', 't']"
10b,6,256512,151701,147389,"['mc', 'cn', 'ct', 'ci', 'rt', 't']"
10c,6,9646757,322094,6222571,"['ci', 'rt', 'mc', 'ct', 't', 'cn']"
11a,7,13641,13278,30,"['mk', 'k', 'ml', 'lt', 'mc', 'ct', 't']"
11b,7,222,168,7,"['t', 'mc', 'ct', 'ml', 'lt', 'mk', 'k']"
11c,7,831593,12524,682,"['mc', 'cn', 'ct', 'ml', 'lt', 'mk', 'k']"
11d,7,328086,47993,131445,"['lt', 'ml', 'mc', 'ct', 'mk', 'k', 't']"
12a,7,5863,2195,1384,"['mi', 'mi_idx', 'it1', 'it2', 'mc', 'ct', 't']"
12b,7,17397,23573,162,"['t', 'mc', 'ct', 'mi_idx', 'it2', 'cn', 'mi']"
12c,7,93126,9945,471,"['mi_idx', 'it2', 'mc', 'ct', 'mi', 'it1', 't']"
13a,8,909811,199013,64220,"['mc', 'cn', 'ct', 'mi_idx', 'it1', 't', 'kt', 'mi']"
13b,8,5983,3261,157,"['t', 'mi_idx', 'it1', 'kt', 'mc', 'ct', 'mi', 'it2']"
13c,8,1680,1210,292,"['t', 'mc', 'ct', 'kt', 'mi_idx', 'it1', 'mi', 'it2']"
13d,8,7134914,1325927,556861,"['mc', 'cn', 'ct', 't', 'kt', 'mi_idx', 'it1', 'mi']"
14a,7,738,739,209,"['t', 'mi_idx', 'kt', 'it2', 'mi', 'it1', 'mk']"
14b,7,194,163,6,"['t', 'mi_idx', 'it2', 'kt', 'mi', 'it1', 'mk']"
14c,7,11250,1837,21,"['mi_idx', 'it2', 't', 'kt', 'mi', 'it1', 'mk']"
15a,8,2617,1922,13,"['mi', 'mc', 'ct', 'it', 'att', 't', 'cn', 'mk']"
15b,8,748,263,7,"['mc', 'cn', 'ct', 'mi', 't', 'att', 'it', 'mk']"
15c,8,10906,21434,22,"['mi', 'it', 'mc', 'ct', 'att', 't', 'cn', 'mk']"
15d,8,114843,24884,496,"['mi', 'it', 'mc', 'ct', 't', 'cn', 'mk', 'k']"
16a,7,42773,295379914,35,"['mk', 'k', 't', 'mc', 'cn', 'ci', 'an']"
16b,7,5965658,1382270265,281,"['mk', 'k', 't', 'mc', 'cn', 'ci', 'n']"
16c,7,923161,626982323,808,"['mk', 'k', 't', 'ci', 'n', 'an', 'mc']"
16d,7,738636,641396528,482,"['mk', 'k', 't', 'ci', 'an', 'n', 'mc']"
17a,6,3159579,151858007,275,"['mk', 'k', 'mc', 'cn', 't', 'ci']"
17b,6,1145823,31363001,791,"['mk', 'k', 'ci', 'n', 't', 'mc']"
17c,6,1084319,18541349,792,"['mk', 'k', 'ci', 'n', 'mc', 'cn']"
17d,6,1095715,11064502,791,"['mk', 'k', 'ci', 'n', 't', 'mc']"
17e,6,3133103,151846512,175,"['mk', 'k', 't', 'mc', 'cn', 'ci']"
17f,6,8177710,73446221,377,"['mk', 'k', 't', 'mc', 'cn', 'ci']"
18a,6,7543439,6747789,252432,"['mi_idx', 'it2', 'mi', 'it1', 'ci', 'n']"
18b,6,615,6032,236,"['mi', 'mi_idx', 'it1', 'it2', 't', 'ci']"
18c,6,705205,371989,3950,"['mi', 'it1', 'mi_idx', 'it2', 'ci', 't']"
19a,9,2356,700949,19,"['ci', 'n', 'rt', 't', 'mi', 'it', 'mc', 'cn', 'chn']"
19b,9,100,257,11,"['t', 'ci', 'rt', 'n', 'mi', 'it', 'mc', 'cn', 'chn']"
19c,9,1673008,9004831,5253,"['mi', 'it', 'ci', 'rt', 't', 'mc', 'cn', 'n', 'an']"
19d,9,9934531,777687278,23650,"['ci', 'rt', 't', 'mi', 'it', 'mc', 'cn', 'n', 'an']"
20a,9,2479,60441,4885,"['ci', 'chn', 'cc', 'cct2', 'cct1', 'n', 't', 'kt', 'mk']"
20b,9,1220,3340,2143,"['ci', 'n', 'chn', 'cc', 'cct1', 'cct2', 't', 'kt', 'mk']"
20c,9,42008937,42624,43490,"['t', 'cc', 'cct2', 'kt', 'cct1', 'ci', 'mk', 'k', 'n']"
21a,8,23811,12501,33,"['mk', 'k', 'mi', 'ml', 'lt', 'mc', 'ct', 'cn']"
21b,8,13471,13374,32,"['mk', 'k', 'mi', 'ml', 'lt', 'mc', 'ct', 'cn']"
21c,8,13781,13278,31,"['mk', 'k', 'ml', 'lt', 'mc', 'ct', 'cn', 't']"
22a,10,8648,2718,2250,"['t', 'mi_idx', 'kt', 'it2', 'mi', 'it1', 'mc', 'ct', 'cn', 'mk']"
22b,10,5487,1229,1823,"['t', 'mi_idx', 'kt', 'it2', 'mi', 'mk', 'k', 'mc', 'ct', 'cn']"
22c,10,6382,1425,721,"['mi_idx', 'mc', 'ct', 'it2', 'cn', 't', 'kt', 'mi', 'it1', 'mk']"
22d,10,38083,1693,24,"['mi_idx', 'it2', 't', 'kt', 'mi', 'it1', 'mc', 'ct', 'cn', 'mk']"
23a,10,703,575,64,"['mi', 'cc', 'cct', 'it', 'mc', 'ct', 'cn', 't', 'kt', 'mk']"
23b,10,697,597,64,"['mi', 'cc', 'cct', 'it', 'mc', 'ct', 'cn', 't', 'kt', 'mk']"
23c,10,713,574,62,"['mi', 'cc', 'cct', 'it', 't', 'kt', 'mc', 'cn', 'ct', 'mk']"
24a,11,28075,40275,76,"['mk', 'k', 't', 'mi', 'it', 'ci', 'rt', 'mc', 'cn', 'n', 'an']"
24b,11,1524,82,12,"['t', 'mi', 'it', 'mc', 'cn', 'ci', 'rt', 'chn', 'mk', 'k', 'n']"
25a,8,445777,43816,1965,"['mi', 'it1', 'mk', 'k', 'mi_idx', 'it2', 't', 'ci']"
25b,8,171,1611,7,"['t', 'mi', 'it1', 'mk', 'k', 'mi_idx', 'it2', 'ci']"
25c,8,577686,100821,221,"['mk', 'k', 'mi', 'it1', 'mi_idx', 'it2', 't', 'ci']"
26a,11,1851911,3644,2605,"['cc', 'mi_idx', 'cct2', 'cct1', 'it', 't', 'kt', 'ci', 'mk', 'k', 'chn']"
26b,11,498475,1073,1132,"['cc', 'mi_idx', 'cct1', 'cct2', 'it', 't', 'kt', 'ci', 'mk', 'k', 'chn']"
26c,11,41889193,44236,43492,"['t', 'cc', 'cct2', 'cct1', 'kt', 'ci', 'mk', 'k', 'chn', 'n', 'mi_idx']"
27a,11,17935,10248,47883,"['ml', 'cc', 'cct1', 'cct2', 'lt', 'mi', 't', 'mk', 'k', 'mc', 'ct']"
27b,11,6047,2985,596,"['ml', 't', 'lt', 'cc', 'mk', 'cct1', 'cct2', 'k', 'mc', 'ct', 'cn']"
27c,11,24173,10248,47621,"['ml', 'cc', 'cct1', 'cct2', 'lt', 'mi', 't', 'mk', 'k', 'mc', 'ct']"
28a,13,21087,482,699,"['cc', 'mi_idx', 'cct1', 'cct2', 'it2', 'mc', 'ct', 'cn', 'mi', 'it1', 't', 'mk', 'k']"
28b,13,13207,1893,2040,"['mi', 'mi_idx', 'it2', 'mc', 'mk', 'ct', 't', 'kt', 'it1', 'cn', 'cc', 'cct2', 'k']"
28c,13,1738,500,698,"['cc', 'mi_idx', 'cct1', 'cct2', 'it2', 'mc', 'ct', 'cn', 't', 'kt', 'mi', 'mk', 'k']"
30a,11,83423,15129,14844,"['mi', 'cc', 'cct1', 'cct2', 't', 'it1', 'ci', 'mi_idx', 'it2', 'mk', 'k']"
30b,11,3364,284,30,"['t', 'cc', 'cct2', 'cct1', 'ci', 'mi', 'it1', 'mi_idx', 'mk', 'k', 'it2']"
30c,11,661803,36065,43796,"['mi', 'cc', 'cct1', 'cct2', 'it1', 't', 'mi_idx', 'ci', 'it2', 'mk', 'k']"
31a,10,64635,10745,175,"['mc', 'cn', 'mi', 'it1', 'mi_idx', 'it2', 't', 'mk', 'k', 'ci']"
31b,10,1866,128,9,"['t', 'mc', 'cn', 'mi', 'it1', 'mk', 'k', 'mi_idx', 'it2', 'ci']"
31c,10,126911,10064,212,"['mc', 'cn', 'mi', 'it1', 'mi_idx', 'it2', 't', 'mk', 'k', 'ci']"
33a,13,154247,2505707,5393,"['ml', 't2', 'kt2', 'mi_idx1', 't1', 'mi_idx2', 'mc1', 'it1', 'kt1', 'cn1', 'it2', 'lt', 'mc2']"
33b,13,2594,6357,840,"['ml', 't2', 'kt2', 'mi_idx2', 'it2', 'lt', 'mc2', 'cn2', 't1', 'kt1', 'mi_idx1', 'it1', 'mc1']"
33c,13,43538,65603,12483,"['ml', 't2', 'kt2', 'lt', 'mi_idx2', 'it2', 'mc2', 'cn2', 't1', 'kt1', 'mc1', 'cn1', 'mi_idx1']"
29a,16,13789,14,15,"['cc', 't', 'cct1', 'cct2', 'mc', 'mk', 'k', 'mi', 'it1', 'ci', 'an', 'chn', 'cn', 'n', 'pi', 'it2']"
29b,16,1188885,16,15,"['cc', 't', 'cct1', 'cct2', 'mc', 'cn', 'mk', 'mi', 'it1', 'ci', 'an', 'rt', 'pi', 'k', 'n', 'it2']"
29c,16,222955,2629,80,"['k', 'mk', 'cc', 'cct1', 'cct2', 'mc', 'mi', 'it1', 't', 'ci', 'an', 'cn', 'rt', 'chn', 'n', 'pi']"
