query_name,plan_size,true_cost,compass_est,psql_est,plan
1a,4,119331,16743,122,"['ct', 'mc', 't', 'mi_idx']"
1b,4,283709,218294,6413,"['ct', 'mc', 't', 'mi_idx']"
1c,4,29061,9349,41,"['ct', 'mc', 't', 'mi_idx']"
1d,4,392689,245921,8216,"['ct', 'mc', 't', 'mi_idx']"
2a,4,198226,78368,128,"['mk', 'k', 'mc', 'cn']"
2b,4,195620,61703,125,"['mk', 'k', 'mc', 'cn']"
2c,4,190396,55284,125,"['mk', 'k', 'mc', 'cn']"
2d,4,232232,158487,144,"['mk', 'k', 't', 'mc']"
32a,5,378,22362523,522,"['mk', 'k', 't1', 'ml', 't2']"
32b,5,92456,336821,42,"['mk', 'k', 't1', 'ml', 't2']"
3a,3,14717,44323,347,"['mk', 'k', 'mi']"
3b,3,1147,108892,97,"['t', 'mi', 'mk']"
3c,3,20825,59650,436,"['mk', 'k', 't']"
4a,4,19441,80884,80,"['mi_idx', 'it', 't', 'mk']"
4b,4,471,83058,3,"['mi_idx', 'it', 't', 'mk']"
4c,4,4888,98991,3,"['mi_idx', 'it', 't', 'mk']"
5a,4,196691,224573,2172,"['mc', 'ct', 'mi', 't']"
5b,4,962,108405,515,"['mc', 'ct', 't', 'mi']"
5c,4,2234,94385,1185,"['mc', 'ct', 't', 'mi']"
6a,4,1249,685260,141,"['k', 'mk', 't', 'ci']"
6b,4,1473,199475,116,"['mk', 't', 'k', 'ci']"
6c,4,49,74654,22,"['k', 'mk', 't', 'ci']"
6d,4,835190,4412599,3578,"['k', 'mk', 't', 'ci']"
6e,4,1249,1625519,451,"['k', 'mk', 't', 'ci']"
6f,4,835190,4614456,3578,"['k', 'mk', 't', 'ci']"
7a,7,633443,153345883,638,"['ml', 'lt', 't', 'ci', 'n', 'an', 'pi']"
7b,7,57476,259137662,183,"['ml', 'lt', 't', 'ci', 'n', 'an', 'pi']"
7c,7,6664560,1542949527,9447,"['ml', 'lt', 't', 'ci', 'n', 'an', 'pi']"
8a,6,36624,231213,285,"['ci', 'rt', 'n', 'an', 't', 'mc']"
8b,6,483,823,5,"['ci', 't', 'mc', 'cn', 'rt', 'an']"
8c,6,15250648,1165999445,305320,"['ci', 'rt', 'n', 'an', 'mc', 'cn']"
8d,6,1847596,1110980445,305320,"['ci', 'rt', 'n', 'an', 'mc', 'cn']"
9a,7,2142,8251553,17,"['ci', 'n', 'rt', 't', 'mc', 'cn', 'an']"
9b,7,674,21271275,14,"['ci', 'n', 'mc', 't', 'rt', 'chn', 'an']"
9c,7,57589,115317587,1175,"['ci', 'n', 'rt', 'an', 't', 'mc', 'cn']"
9d,7,3026184,356217889,3531,"['ci', 'rt', 'n', 'an', 'mc', 'cn', 't']"
10a,6,45875,613828,107,"['ci', 'rt', 't', 'mc', 'cn', 'chn']"
10b,6,44506,409420,19846,"['mc', 'cn', 't', 'ct', 'ci', 'rt']"
10c,6,3712428,387291830,1569851,"['mc', 'cn', 't', 'ci', 'chn', 'rt']"
11a,7,12515,13332,30,"['mk', 'k', 'ml', 'lt', 't', 'mc', 'ct']"
11b,7,163,13013,6,"['ml', 't', 'mk', 'k', 'lt', 'mc', 'ct']"
11c,7,95665,651711,81,"['mk', 'k', 'ml', 't', 'mc', 'ct', 'lt']"
11d,7,67021,672278,81,"['mk', 'k', 'ml', 't', 'mc', 'ct', 'lt']"
12a,7,4796,19684,27,"['mi_idx', 'it2', 't', 'mi', 'it1', 'mc', 'ct']"
