query_name,plan_size,true_cost,compass_est_cost,psql_est_cost,plan
1a,4,119331,16743,122,"['ct', 'mc', 't', 'mi_idx']"
1b,4,283709,218294,6413,"['ct', 'mc', 't', 'mi_idx']"
1c,4,15128,6271,910,"['mc', 't', 'ct', 'mi_idx']"
1d,4,392689,245921,8216,"['ct', 'mc', 't', 'mi_idx']"
2a,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
2b,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
2c,4,2364,6242528,10685,"['cn', 'mc', 't', 'mk']"
2d,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
32a,5,378,4261087,522,"['k', 'mk', 't1', 'ml', 'lt']"
32b,5,378183,24148169,121565,"['ml', 't2', 'lt', 't1', 'mk']"
3a,3,14717,44323,347,"['k', 'mk', 'mi']"
3b,3,1147,108892,97,"['mi', 't', 'mk']"
3c,3,25114,57319,762,"['k', 'mk', 'mi']"
4a,4,14202,78739,1750,"['mi_idx', 't', 'it', 'mk']"
4b,4,409,83027,7,"['mi_idx', 't', 'it', 'mk']"
4c,4,4888,98991,3,"['it', 'mi_idx', 't', 'mk']"
5a,4,158998,69399,59312,"['mi', 't', 'it', 'mc']"
5b,4,29408,30399,11957,"['mc', 't', 'ct', 'mi']"
5c,4,2180,84203,2270,"['ct', 'mc', 'mi', 'it']"
6a,4,1249,685260,141,"['k', 'mk', 't', 'ci']"
6b,4,507,79337,2138,"['ci', 'n', 't', 'mk']"
6c,4,49,74654,22,"['k', 'mk', 't', 'ci']"
6d,4,5994,3071223,5395,"['ci', 'n', 't', 'mk']"
6e,4,1249,1625519,451,"['k', 'mk', 't', 'ci']"
6f,4,835190,4614456,3578,"['k', 'mk', 't', 'ci']"
7a,7,635007,153327955,4528,"['ml', 't', 'lt', 'ci', 'n', 'an', 'pi']"
7b,7,54074,259111614,573,"['ml', 't', 'lt', 'ci', 'n', 'an', 'pi']"
7c,7,6662961,1542937324,27326,"['ml', 't', 'lt', 'ci', 'n', 'an', 'pi']"
8a,6,1471,13867,591,"['ci', 'n', 'rt', 'mc', 'cn', 'an']"
8b,6,141,388,5,"['mc', 't', 'cn', 'ci', 'rt', 'n']"
8c,6,46967711,1340291665,5251573,"['an', 'n', 'ci', 'rt', 't', 'mc']"
8d,6,38509587,1340291665,5251573,"['an', 'n', 'ci', 'rt', 't', 'mc']"
9a,7,3038,8862575,18,"['an', 'n', 'ci', 'rt', 'mc', 't', 'cn']"
9b,7,1972,2924380,18,"['an', 'n', 'ci', 'rt', 't', 'mc', 'cn']"
9c,7,62202,465694913,1518,"['an', 'n', 'ci', 'rt', 'chn', 't', 'mc']"
9d,7,3000070,1389697607,116333,"['ci', 'n', 'rt', 'an', 'chn', 't', 'mc']"
10a,6,40856,25694,4979,"['ci', 't', 'rt', 'mc', 'ct', 'cn']"
10b,6,52037,336874,27896,"['cn', 'mc', 'ct', 't', 'ci', 'rt']"
10c,6,7174281,421761,2804988,"['ci', 'rt', 't', 'mc', 'ct', 'cn']"
11a,7,17805,16972,31,"['k', 'mk', 't', 'ml', 'lt', 'mc', 'ct']"
11b,7,138,207,6,"['ml', 't', 'lt', 'mc', 'ct', 'cn', 'mk']"
11c,7,833040,12531,381,"['cn', 'mc', 'ct', 'ml', 'lt', 't', 'mk']"
11d,7,353870,65221,126977,"['ml', 't', 'lt', 'mc', 'ct', 'cn', 'mk']"
12a,7,2226,17028,1384,"['mi', 'mi_idx', 'it1', 'it2', 't', 'mc', 'ct']"
