query_name,plan_size,true_cost,compass_est_cost,psql_est_cost,plan
1a,4,119331,16743,122,"['ct', 'mc', 't', 'mi_idx']"
1b,4,283709,218294,6413,"['ct', 'mc', 't', 'mi_idx']"
1c,4,29061,9349,41,"['ct', 'mc', 't', 'mi_idx']"
1d,4,392689,245921,8216,"['ct', 'mc', 't', 'mi_idx']"
2a,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
2b,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
2c,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
2d,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
32a,5,378,4261087,522,"['k', 'mk', 't1', 'ml', 'lt']"
32b,5,92456,64338,42,"['k', 'mk', 't1', 'ml', 'lt']"
3a,3,14717,44323,347,"['k', 'mk', 'mi']"
3b,3,1147,108892,97,"['mi', 't', 'mk']"
3c,3,20825,59650,436,"['k', 'mk', 't']"
4a,4,19441,80884,80,"['it', 'mi_idx', 't', 'mk']"
4b,4,471,83058,3,"['it', 'mi_idx', 't', 'mk']"
4c,4,4888,98991,3,"['it', 'mi_idx', 't', 'mk']"
5a,4,196691,224573,2172,"['ct', 'mc', 'mi', 't']"
5b,4,962,108405,515,"['ct', 'mc', 't', 'mi']"
5c,4,2234,94385,1185,"['ct', 'mc', 't', 'mi']"
6a,4,1249,685260,141,"['k', 'mk', 't', 'ci']"
6b,4,1473,199475,116,"['mk', 't', 'k', 'ci']"
6c,4,49,74654,22,"['k', 'mk', 't', 'ci']"
6d,4,835190,4412599,3578,"['k', 'mk', 't', 'ci']"
6e,4,1249,1625519,451,"['k', 'mk', 't', 'ci']"
6f,4,835190,4614456,3578,"['k', 'mk', 't', 'ci']"
7a,7,633443,153345883,638,"['lt', 'ml', 't', 'ci', 'n', 'an', 'pi']"
7b,7,51252,13594302,183,"['lt', 'ml', 't', 'ci', 'n', 'pi', 'it']"
7c,7,6664560,1542949527,9447,"['lt', 'ml', 't', 'ci', 'n', 'an', 'pi']"
8a,6,36027,41838,285,"['ci', 'rt', 'n', 'an', 'mc', 'cn']"
8b,6,385,249,5,"['ci', 't', 'rt', 'an', 'mc', 'cn']"
8c,6,15106761,1323083545,305544,"['ci', 'rt', 'n', 'an', 't', 'mc']"
8d,6,1743557,1323083545,305544,"['ci', 'rt', 'n', 'an', 't', 'mc']"
9a,7,3017,40747119,17,"['ci', 'n', 'rt', 'an', 'chn', 'mc', 'cn']"
9b,7,1570,24584361,14,"['ci', 'n', 'rt', 'an', 'chn', 'mc', 't']"
9c,7,56579,465486810,1175,"['ci', 'n', 'rt', 'an', 'chn', 't', 'mc']"
9d,7,3000146,1389777669,3535,"['ci', 'rt', 'n', 'an', 'chn', 't', 'mc']"
10a,6,50917,1145531,129,"['ci', 'rt', 't', 'chn', 'mc', 'cn']"
10b,6,44506,409420,19846,"['cn', 'mc', 't', 'ct', 'ci', 'rt']"
10c,6,4096360,17002514,1569851,"['cn', 'mc', 't', 'ci', 'rt', 'ct']"
11a,7,13050,13756,30,"['k', 'mk', 'ml', 'lt', 'mc', 't', 'cn']"
11b,7,131,361,6,"['ml', 't', 'lt', 'mc', 'cn', 'ct', 'mk']"
11c,7,74239,149837,81,"['k', 'mk', 'ml', 't', 'lt', 'mc', 'cn']"
11d,7,82786,188348,81,"['k', 'mk', 'ml', 't', 'lt', 'mc', 'cn']"
12a,7,4776,124654,27,"['it2', 'mi_idx', 't', 'mi', 'it1', 'mc', 'cn']"
