query_name,plan_size,true_cost,compass_est_cost,psql_est_cost,plan
1a,4,539,1384046,7393,"['it', 'mi_idx', 'mc', 'ct']"
1b,4,80,1514704,10320,"['it', 'mi_idx', 't', 'mc']"
1c,4,265,1412166,8295,"['it', 'mi_idx', 't', 'mc']"
1d,4,94,1838902,13200,"['it', 'mi_idx', 't', 'mc']"
2a,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
2b,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
2c,4,2364,6242528,10685,"['cn', 'mc', 't', 'mk']"
2d,4,232232,158487,144,"['k', 'mk', 't', 'mc']"
32a,5,378,4261087,522,"['k', 'mk', 't1', 'ml', 'lt']"
32b,5,378183,24156428,121565,"['lt', 'ml', 't1', 't2', 'mk']"
3a,3,14717,44323,347,"['k', 'mk', 'mi']"
3b,3,1147,108892,97,"['mi', 't', 'mk']"
3c,3,20825,59650,436,"['k', 'mk', 't']"
4a,4,14202,78739,1750,"['mi_idx', 't', 'it', 'mk']"
4b,4,409,83027,7,"['mi_idx', 't', 'it', 'mk']"
4c,4,4622,100013,26,"['mi_idx', 't', 'it', 'mk']"
5a,4,158998,69399,59312,"['mi', 't', 'it', 'mc']"
5b,4,962,108405,515,"['ct', 'mc', 't', 'mi']"
5c,4,2158,93233,1565,"['ct', 'mc', 'mi', 't']"
6a,4,1249,685260,141,"['k', 'mk', 't', 'ci']"
6b,4,507,79337,2138,"['ci', 'n', 't', 'mk']"
6c,4,49,74654,22,"['k', 'mk', 't', 'ci']"
6d,4,5994,3071223,5395,"['ci', 'n', 't', 'mk']"
6e,4,1249,1625519,451,"['k', 'mk', 't', 'ci']"
6f,4,835190,4614456,3578,"['k', 'mk', 't', 'ci']"
7a,7,633443,153345883,638,"['lt', 'ml', 't', 'ci', 'n', 'an', 'pi']"
7b,7,54074,259111614,573,"['ml', 't', 'lt', 'ci', 'n', 'an', 'pi']"
7c,7,6662961,1542937324,27326,"['ml', 't', 'lt', 'ci', 'n', 'an', 'pi']"
8a,6,1244,49549,600,"['ci', 'n', 'mc', 'rt', 'cn', 't']"
8b,6,120,1712,5,"['mc', 't', 'cn', 'ci', 'n', 'rt']"
8c,6,46967711,1340291665,5251573,"['an', 'n', 'ci', 'rt', 't', 'mc']"
8d,6,1686120,1322843784,445902,"['ci', 'rt', 'an', 'n', 't', 'mc']"
9a,7,1534,815980271,21,"['ci', 'n', 't', 'mc', 'cn', 'chn', 'rt']"
9b,7,661,8370771,14,"['ci', 'n', 'mc', 't', 'cn', 'rt', 'chn']"
9c,7,52799,467048508,2341,"['ci', 'n', 'chn', 'rt', 't', 'an', 'mc']"
9d,7,3139766,1422605523,175003,"['an', 'n', 'ci', 'chn', 'rt', 't', 'mc']"
10a,6,31521,1133407,4978,"['ci', 't', 'rt', 'chn', 'mc', 'cn']"
10b,6,44506,409420,19846,"['cn', 'mc', 't', 'ct', 'ci', 'rt']"
10c,6,4740621,49840316,2530273,"['ci', 't', 'chn', 'rt', 'mc', 'cn']"
11a,7,15267,102063,48,"['lt', 'ml', 't', 'mc', 'cn', 'ct', 'mk']"
11b,7,131,361,6,"['ml', 't', 'lt', 'mc', 'cn', 'ct', 'mk']"
