query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
29,3,2,1.05,1,1.15,1.15,2.15,2.15,0.10196562733176859,1
64,5,4,1.19,1,170.32,192.28,19.47,19.47,0.2139157730176492,1
65,5,4,2.28,1,76.88,82.85,7.47,7.47,0.01847049498006177,1
66,5,4,1.06,1,187.58,201.65,29.2,45.269999999999996,0.45315747398356165,1
68,5,4,1.15,1,40.72,44.51,46.84,61.150000000000006,0.5500116301884282,1
69,5,4,33.52,1,178.36,214.93,1193.04,1199.93,3.0256383655163384,1
70,5,4,35.94,1,393.02,481.81,1545.32,1555.52,3.9330608312429,1
*,*,*,*,*,*,*,*,*,*,*
10,3,2,1.0,0,1.01,1.01,0,0,0.0,1
11,3,2,1.0,0,1.05,1.05,0,0,0.0,1
12,3,2,1.0,0,1.09,1.09,0,0,0.0,1
13,3,2,1.0,0,1.02,1.02,0,0,0.0,1
14,3,2,1.0,0,1.04,1.04,0,0,0.0,1
15,3,2,1.0,0,1.1,1.1,0,0,0.0,1
16,3,2,1.0,0,1.02,1.02,0,0,0.0,1
17,3,2,1.0,0,3.26,3.26,0,0,0.0,1
18,3,2,1.0,0,7.2,7.2,0,0,0.0,1
19,3,2,1.0,0,3.5,3.5,0,0,0.0,1
20,3,2,1.0,0,5.64,5.64,0,0,0.0,1
21,3,2,1.0,0,1.3,1.3,0,0,0.0,1
22,3,2,1.0,0,1.23,1.23,0,0,0.0,1
23,3,2,1.0,0,1.3,1.3,0,0,0.0,1
24,3,2,1.0,0,1.11,1.11,0,0,0.0,1
25,3,2,1.0,0,1.1,1.1,0,0,0.0,1
26,3,2,1.0,0,1.18,1.18,0,0,0.0,1
27,3,2,1.0,0,1.07,1.07,0,0,0.0,1
28,3,2,1.0,0,1.1,1.1,0,0,0.0,1
30,3,2,1.0,0,1.23,1.23,0,0,0.0,1
31,3,2,1.0,0,1.1,1.1,0,0,0.0,1
32,3,2,1.0,0,1.11,1.11,0,0,0.0,1
33,3,2,1.0,0,1.13,1.13,0,0,0.0,1
34,3,2,1.0,0,1.14,1.14,0,0,0.0,1
35,3,2,1.0,0,1.26,1.26,0,0,0.0,1
36,4,3,1.0,0,4.27,5.43,0,0,0.0,1
37,4,3,1.0,0,39.73,47.23,0,0,0.0,1
38,4,3,1.0,0,2.28,3.33,0,0,0.0,1
39,4,3,1.0,0,1.34,2.49,0,0,0.0,1
40,4,3,1.0,0,17.19,18.6,8.62,8.62,0.0947074454757132,1
41,4,3,1.0,0,2.51,3.55,0,0,0.0,1
42,4,3,1.0,0,7.94,8.99,0,0,0.0,1
43,4,3,1.0,0,2.81,4.03,0,0,0.0,1
44,4,3,1.0,0,3.78,5.04,0,0,0.0,1
45,4,3,1.0,0,1.63,2.8499999999999996,0,0,0.0,1
46,4,3,1.0,0,2.25,3.37,3.07,3.07,0.03372991387592106,1
47,4,3,1.0,0,1.72,2.8200000000000003,0,0,0.0,1
48,4,3,1.0,0,1.43,2.54,0,0,0.0,1
49,4,3,1.0,0,9.83,10.93,0,0,0.0,1
4,3,2,1.0,0,2.28,2.28,0,0,0.0,1
50,4,3,1.0,0,15.2,16.619999999999997,0,0,0.0,1
51,4,3,1.0,0,5.72,6.93,0,0,0.0,1
52,4,3,1.0,0,19.44,20.970000000000002,0,0,0.0,1
53,4,3,1.0,0,3.81,4.91,2.88,2.88,0.031642394776108355,1
54,4,3,1.0,0,1.41,2.52,2.19,2.19,0.024061404360999062,1
55,4,3,1.0,0,1.82,2.9699999999999998,2.6,2.6,0.028566050839542268,1
56,4,3,1.0,0,3.82,5.04,0,0,0.0,1
57,4,3,1.0,0,2.24,3.5300000000000002,0,0,0.0,1
58,4,3,1.0,0,4.08,5.33,0,0,0.0,1
59,5,4,1.0,0,187.15,194.53,3.0,3.0,0.14227761953270035,1
5,3,2,1.0,0,10.33,10.33,0,0,0.0,1
60,5,4,1.0,0,264.52,275.38,4.34,6.85,0.16672227269246703,1
61,5,4,1.0,0,108.64,113.88,65.23,67.64,0.18776774024701592,1
62,5,4,1.0,0,154.2,161.57,2.91,2.91,0.031972003055026156,1
63,5,4,1.0,0,43.2,46.160000000000004,0,0,0.0,1
67,5,4,1.0,0,425.25,818.52,18.23,18.23,0.20029196415571368,1
6,3,2,1.0,0,18.91,18.91,0,0,0.0,1
7,3,2,1.0,0,9.16,9.16,0,0,0.0,1
8,3,2,1.0,0,1.03,1.03,0,0,0.0,1
9,3,2,1.0,0,1.06,1.06,0,0,0.0,1
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
