query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
36,4,3,1.08,1,1.62,2.96,2.25,2.25,0.024720620918834653,1
38,4,3,1.06,1,1.73,2.99,2.19,2.19,0.024061404360999062,1
64,5,4,1.19,1,4.3,10.129999999999999,3.55,3.55,0.039003646338605785,1
69,5,4,1.04,1,11.14,23.04,6.89,6.89,0.07570003472478701,1
70,5,4,1.04,1,10.42,25.619999999999997,6.69,6.69,0.07350264619866838,1
*,*,*,*,*,*,*,*,*,*,*
10,3,2,1.0,0,1.62,1.62,0,0,0.0,1
11,3,2,1.0,0,1.41,1.41,0,0,0.0,1
12,3,2,1.0,0,1.37,1.37,0,0,0.0,1
13,3,2,1.0,0,1.5,1.5,0,0,0.0,1
14,3,2,1.0,0,1.44,1.44,0,0,0.0,1
15,3,2,1.0,0,1.46,1.46,0,0,0.0,1
16,3,2,1.0,0,1.5,1.5,0,0,0.0,1
17,3,2,1.0,0,2.0,2.0,0,0,0.0,1
18,3,2,1.0,0,9.25,9.25,0,0,0.0,1
19,3,2,1.0,0,3.4,3.4,0,0,0.0,1
20,3,2,1.0,0,7.27,7.27,0,0,0.0,1
21,3,2,1.0,0,1.83,1.83,0,0,0.0,1
22,3,2,1.0,0,3.75,3.75,0,0,0.0,1
23,3,2,1.0,0,2.79,2.79,0,0,0.0,1
24,3,2,1.0,0,1.7,1.7,0,0,0.0,1
25,3,2,1.0,0,2.37,2.37,0,0,0.0,1
26,3,2,1.0,0,1.7,1.7,0,0,0.0,1
27,3,2,1.0,0,1.65,1.65,0,0,0.0,1
28,3,2,1.0,0,1.71,1.71,0,0,0.0,1
29,3,2,1.0,0,1.7,1.7,0,0,0.0,1
30,3,2,1.0,0,1.87,1.87,0,0,0.0,1
31,3,2,1.0,0,1.84,1.84,0,0,0.0,1
32,3,2,1.0,0,2.08,2.08,0,0,0.0,1
33,3,2,1.0,0,1.61,1.61,0,0,0.0,1
34,3,2,1.0,0,1.51,1.51,0,0,0.0,1
35,3,2,1.0,0,1.81,1.81,0,0,0.0,1
37,4,3,1.0,0,32.5,42.5,0,0,0.0,1
39,4,3,1.0,0,3.15,5.22,0,0,0.0,1
40,4,3,1.0,0,3.56,4.96,0,0,0.0,1
41,4,3,1.0,0,4.18,7.619999999999999,0,0,0.0,1
42,4,3,1.0,0,2.42,3.91,0,0,0.0,1
43,4,3,1.0,0,1.7,3.01,0,0,0.0,1
44,4,3,1.0,0,1.93,3.17,0,0,0.0,1
45,4,3,1.0,0,1.7,3.04,0,0,0.0,1
46,4,3,1.0,0,2.13,4.02,0,0,0.0,1
47,4,3,1.0,0,2.46,4.51,0,0,0.0,1
48,4,3,1.0,0,2.27,4.11,0,0,0.0,1
49,4,3,1.0,0,2.37,4.12,0,0,0.0,1
4,3,2,1.0,0,4.63,4.63,0,0,0.0,1
50,4,3,1.0,0,1.56,2.8600000000000003,0,0,0.0,1
51,4,3,1.0,0,1.83,3.2,0,0,0.0,1
52,4,3,1.0,0,2.15,3.67,0,0,0.0,1
53,4,3,1.0,0,2.06,3.51,0,0,0.0,1
54,4,3,1.0,0,1.74,3.02,0,0,0.0,1
55,4,3,1.0,0,1.89,3.24,0,0,0.0,1
56,4,3,1.0,0,1.7,3.1399999999999997,0,0,0.0,1
57,4,3,1.0,0,5.74,8.530000000000001,0,0,0.0,1
58,4,3,1.0,0,5.01,7.48,0,0,0.0,1
59,5,4,1.0,0,4.5,8.46,0,0,0.0,1
5,3,2,1.0,0,3.0,3.0,0,0,0.0,1
60,5,4,1.0,0,5.4,9.65,0,0,0.0,1
61,5,4,1.0,0,2.92,6.63,0,0,0.0,1
62,5,4,1.0,0,3.61,7.25,0,0,0.0,1
63,5,4,1.0,0,2.11,5.879999999999999,0,0,0.0,1
65,5,4,1.0,0,2.31,6.18,0,0,0.0,1
66,5,4,1.0,0,3.37,6.33,3.59,8.719999999999999,0.19997208044891795,1
67,5,4,1.0,0,26.35,37.760000000000005,20.38,23.97,0.39417277551895374,1
68,5,4,1.0,0,7.14,11.2,3.35,3.35,0.008283287574726496,1
6,3,2,1.0,0,1.5,1.5,0,0,0.0,1
7,3,2,1.0,0,6.0,6.0,0,0,0.0,1
8,3,2,1.0,0,1.32,1.32,0,0,0.0,1
9,3,2,1.0,0,1.37,1.37,0,0,0.0,1
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
