query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
29,3,2,1.05,1,1.15,1.15,2.15,2.15,0.10196562733176859,1
67,5,4,6.98,1,3559.07,4118.88,46.16,78.35,0.4678059681890556,1
68,5,4,1.4,1,42.45,46.43,52.58,67.25,0.6139668252244215,1
69,5,4,1.04,1,187.33,228.61,28.07,50.65,0.3174916966055321,1
70,5,4,1.04,1,421.53,527.68,24.22,46.09,0.3001713681847671,1
*,*,*,*,*,*,*,*,*,*,*
10,3,2,1.0,0,1.01,1.01,0,0,0.0,1
11,3,2,1.0,0,1.05,1.05,0,0,0.0,1
12,3,2,1.0,0,1.09,1.09,0,0,0.0,1
13,3,2,1.0,0,1.02,1.02,0,0,0.0,1
14,3,2,1.0,0,1.04,1.04,0,0,0.0,1
15,3,2,1.0,0,1.1,1.1,0,0,0.0,1
16,3,2,1.0,0,1.02,1.02,0,0,0.0,1
17,3,2,1.0,0,3.26,3.26,0,0,0.0,1
18,3,2,1.0,0,7.2,7.2,0,0,0.0,1
19,3,2,1.0,0,3.5,3.5,0,0,0.0,1
20,3,2,1.0,0,5.64,5.64,0,0,0.0,1
21,3,2,1.0,0,1.3,1.3,0,0,0.0,1
22,3,2,1.0,0,1.23,1.23,0,0,0.0,1
23,3,2,1.0,0,1.3,1.3,0,0,0.0,1
24,3,2,1.0,0,1.11,1.11,0,0,0.0,1
25,3,2,1.0,0,1.1,1.1,0,0,0.0,1
26,3,2,1.0,0,1.18,1.18,0,0,0.0,1
27,3,2,1.0,0,1.07,1.07,0,0,0.0,1
28,3,2,1.0,0,1.1,1.1,0,0,0.0,1
30,3,2,1.0,0,1.23,1.23,0,0,0.0,1
31,3,2,1.0,0,1.1,1.1,0,0,0.0,1
32,3,2,1.0,0,1.11,1.11,0,0,0.0,1
33,3,2,1.0,0,1.13,1.13,0,0,0.0,1
34,3,2,1.0,0,1.14,1.14,0,0,0.0,1
35,3,2,1.0,0,1.26,1.26,0,0,0.0,1
36,4,3,1.0,0,7.1,8.26,0,0,0.0,1
37,4,3,1.0,0,100.82,108.32,0,0,0.0,1
38,4,3,1.0,0,3.22,4.2700000000000005,0,0,0.0,1
39,4,3,1.0,0,1.58,2.73,0,0,0.0,1
40,4,3,1.0,0,19.71,21.12,5.46,5.46,0.05998870676303876,1
41,4,3,1.0,0,2.81,3.85,0,0,0.0,1
42,4,3,1.0,0,10.01,11.06,0,0,0.0,1
43,4,3,1.0,0,7.8,9.02,0,0,0.0,1
44,4,3,1.0,0,3.81,5.07,0,0,0.0,1
45,4,3,1.0,0,1.64,2.86,0,0,0.0,1
46,4,3,1.0,0,2.33,3.45,3.02,3.02,0.033180566744391404,1
47,4,3,1.0,0,1.83,2.93,0,0,0.0,1
48,4,3,1.0,0,1.56,2.67,0,0,0.0,1
49,4,3,1.0,0,10.1,11.2,0,0,0.0,1
4,3,2,1.0,0,2.28,2.28,0,0,0.0,1
50,4,3,1.0,0,26.1,27.520000000000003,0,0,0.0,1
51,4,3,1.0,0,5.85,7.06,0,0,0.0,1
52,4,3,1.0,0,31.07,32.6,0,0,0.0,1
53,4,3,1.0,0,4.59,5.6899999999999995,3.51,3.51,0.03856416863338206,1
54,4,3,1.0,0,1.52,2.63,2.34,2.34,0.025709445755588037,1
55,4,3,1.0,0,2.05,3.1999999999999997,0,0,0.0,1
56,4,3,1.0,0,4.58,5.8,0,0,0.0,1
57,4,3,1.0,0,2.35,3.64,0,0,0.0,1
58,4,3,1.0,0,4.39,5.64,0,0,0.0,1
59,5,4,1.0,0,241.22,250.78,3.0,5.3100000000000005,0.1676574570093706,1
5,3,2,1.0,0,10.33,10.33,0,0,0.0,1
60,5,4,1.0,0,352.88,367.29,2.74,5.25,0.14914316448351794,1
61,5,4,1.0,0,133.48,139.67999999999998,87.77,87.77,0.21702213445783416,1
62,5,4,1.0,0,193.22,201.82999999999998,0,0,0.0,1
63,5,4,1.0,0,48.47,51.47,3.91,3.91,0.04295894568561933,1
64,5,4,1.0,0,276.59,300.40999999999997,13.52,13.52,0.14854346436561977,1
65,5,4,1.0,0,104.77,111.31,10.31,10.31,0.025492744744904528,1
66,5,4,0.38,0,201.08,216.53,30.14,46.89,0.4651665838028308,1
6,3,2,1.0,0,18.91,18.91,0,0,0.0,1
7,3,2,1.0,0,9.16,9.16,0,0,0.0,1
8,3,2,1.0,0,1.03,1.03,0,0,0.0,1
9,3,2,1.0,0,1.06,1.06,0,0,0.0,1
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
