query_name,plan_size,true_cost,psql_est_cost,compass_est_cost,plan
1,1,0,0,0,[]
2,1,0,0,0,[]
3,1,0,0,0,[]
4,2,250,54,571,"['mi_idx', 't']"
5,2,3,1,31,"['mi_idx', 't']"
6,2,12,8,227,"['mi_idx', 't']"
7,2,6,1,55,"['mi_idx', 't']"
8,2,143567,108501,144546,"['mi_idx', 't']"
9,2,43838,41860,45905,"['mi_idx', 't']"
10,2,303486,187850,300868,"['mi_idx', 't']"
11,2,1253091,1062999,1196910,"['mk', 't']"
12,2,299534,410109,274419,"['mk', 't']"
13,2,2742670,1840394,2737760,"['mk', 't']"
14,2,450556,313117,463984,"['mc', 't']"
15,2,176197,120802,160305,"['mc', 't']"
16,2,794787,542106,788902,"['mc', 't']"
17,2,11,22,36,"['mk', 't']"
18,2,1054,114,7591,"['mk', 't']"
19,2,2,1,2,"['mk', 't']"
20,2,11,80,62,"['mk', 't']"
21,2,1970380,1455099,1917480,"['mk', 't']"
22,2,2343162,624725,2364700,"['mk', 't']"
23,2,1053171,377501,991220,"['mk', 't']"
24,2,41840,25813,46411,"['mk', 't']"
25,2,5181,2185,5680,"['mc', 't']"
26,2,10544,6475,12402,"['mc', 't']"
27,2,2229308,1388811,2386760,"['mk', 't']"
28,2,2609129,1534782,2720690,"['ci', 't']"
29,2,2609129,1534782,2720690,"['ci', 't']"
30,2,276403,148026,224340,"['mc', 't']"
31,2,828838,612110,914718,"['ci', 't']"
32,2,221088,148821,245745,"['ci', 't']"
33,2,829639,613074,913715,"['mc', 't']"
34,2,294635,236526,336113,"['mc', 't']"
35,2,1508127,1061428,1532500,"['mc', 't']"
36,3,92806,89484,295968,"['mi', 't', 'mi_idx']"
37,3,14,2,478,"['mi', 't', 'mc']"
38,3,364812,331990,833157,"['mi', 't', 'mi_idx']"
39,3,512490,256904,686394,"['mi', 't', 'mi_idx']"
40,3,38242,42609,184232,"['mi', 't', 'mk']"
41,3,448828,276484,619232,"['mi', 't', 'mk']"
42,3,269097,425706,612967,"['mi', 't', 'mk']"
43,3,167294,154875,470128,"['ci', 't', 'mi_idx']"
44,3,2924842,2766090,9841576,"['mi', 't', 'ci']"
45,3,14086420,10655965,16445739,"['mi', 't', 'ci']"
46,3,7791670,5769249,8395580,"['mc', 't', 'mi']"
47,3,2978359,1982701,5130156,"['mc', 't', 'mi']"
48,3,9701908,7296885,6803930,"['mc', 't', 'mi']"
49,3,12334,7965,38080,"['mk', 't', 'mc']"
50,3,6110,7915,92871,"['mk', 't', 'mc']"
51,3,19145,16367,60504,"['mk', 't', 'mc']"
52,3,643,461,11950,"['mk', 't', 'mc']"
53,3,2122036,1458931,2816661,"['ci', 't', 'mc']"
54,3,13514150,10551003,16225490,"['ci', 't', 'mc']"
55,3,7791670,5769249,7880920,"['ci', 't', 'mc']"
56,3,190392,159528,727011,"['mk', 't', 'mc']"
57,3,983919,431460,2202083,"['mi_idx', 't', 'ci']"
58,3,605388,315197,2472847,"['mi_idx', 't', 'ci']"
59,4,444466,1349690,31602567,"['mi', 't', 'mc', 'mk']"
60,4,325116,1092580,23386494,"['mi', 't', 'mc', 'mk']"
61,4,1204492,2832007,37050026,"['mi', 't', 'mc', 'mk']"
62,4,777485,2068877,30706126,"['mi', 't', 'mc', 'mk']"
63,4,11489689,15969645,320283319,"['mi', 't', 'ci', 'mi_idx']"
64,4,530079,2461090,87833695,"['mi', 't', 'ci', 'mi_idx']"
65,4,4536555,8732143,312734872,"['mi', 't', 'ci', 'mi_idx']"
66,4,69150128,20544036,911359746,"['ci', 't', 'mi', 'mc']"
67,4,21558,818,3441394,"['ci', 't', 'mi', 'mc']"
68,4,520367471,72891893,1626668650,"['ci', 't', 'mi', 'mc']"
69,4,26230,2301,4513657,"['mk', 't', 'mc', 'mi']"
70,4,8020,740,3030202,"['mk', 't', 'mc', 'mi']"
