query_name,tables_nbr,query_complexity,optimal greedy,psql greedy,optimal exhaustive,psql exhaustive
1a,5,0,539,119331,539,119331
1b,5,0,80,283709,80,283709
1c,5,0,265,29061,265,29061
1d,5,0,94,392689,94,392689
2a,5,0,232232,232232,198226,198226
2b,5,0,232232,232232,195620,195620
2c,5,0,2364,232232,1980,190396
2d,5,0,232232,232232,232232,232232
32a,5,0,378,378,378,378
32b,5,0,378183,92456,92456,92456
3a,4,0,14717,14717,14717,14717
3b,4,0,1147,1147,1147,1147
3c,4,0,20825,20825,20825,20825
4a,5,0,14202,19441,12217,19441
4b,5,0,409,471,387,471
4c,5,0,4622,4888,3574,4888
5a,5,0,158998,196691,130548,196691
5b,5,0,962,962,962,962
5c,5,0,2158,2234,2158,2234
6a,5,0,1249,1249,1249,1249
6b,5,0,507,1473,507,1473
6c,5,0,49,49,49,49
6d,5,0,5994,835190,5994,835190
6e,5,0,1249,1249,1249,1249
6f,5,0,835190,835190,835190,835190
8a,8,0,1244,36027,1244,36624
8b,8,0,120,385,120,483
8c,8,0,46967711,15106761,13091770,15250648
8d,8,0,1686120,1743557,1686120,1847596
9a,9,0,1534,3017,1534,2142
9b,9,0,661,1570,661,674
9c,9,0,52799,56579,40539,57589
9d,9,0,3139766,3000146,1496743,3026184
10a,7,0,31521,50917,9542,45875
10b,7,0,44506,44506,44506,44506
10c,7,0,4740621,4096360,3712428,3712428
17a,9,0,3133103,3133103,2384687,3133103
17b,9,0,8177710,8177710,1145823,8177710
17c,9,0,1038647,8177710,78174,8177710
17d,9,0,8177710,8177710,377404,8177710
17e,9,0,3133103,3133103,3133103,3133103
17f,9,0,8177710,8177710,2384687,8177710
18a,9,0,109591,109591,103282,106307
18b,9,0,315,3672,283,3517
18c,9,0,316545,596051,287586,837644
7a,11,1,633443,633443,361823,633443
7b,11,1,54074,51252,47850,57476
7c,11,1,6662961,6664560,1211493,6664560
11a,10,1,15267,13050,12181,12515
11b,10,1,131,131,85,163
11c,10,1,828250,74239,74239,95665
11d,10,1,353870,82786,66155,67021
12a,10,1,1490,4776,1418,4796
12b,10,1,1275,3910,278,7705
12c,10,1,19069,32590,17443,34374
13a,11,1,905818,2738221,905818,2092569
13b,11,1,3368,3412,3368,6179
13c,11,1,564,579,564,1622
13d,11,1,6571930,6609301,6571930,14754364
14a,10,1,663,2793,610,2740
14b,10,1,185,478,185,3092
14c,10,1,9472,11250,8117,10879
15a,14,1,1825,4126,769,4032
15b,14,1,241,979,241,3200
15c,14,1,3599,5262,3599,11792
15d,14,1,17604,86485,17604,86485
16a,11,1,16526,42773,16526,42773
16b,11,1,5965658,5965658,5965658,5965658
16c,11,1,511928,610251,511928,610251
16d,11,1,401198,401198,401198,401198
19a,13,1,1508,3397,1491,2780
19b,13,1,125,543,82,258
19c,13,1,34143,53701,30367,48847
19d,13,1,13409736,13469691,4827120,15269518
20a,12,1,2444,1862173,2443,90911217
20b,12,1,1220,42012706,761,42012700
20c,12,1,240586,41990402,174178,42169843
21a,14,1,40287,21009,12121,18873
21b,14,1,7388,11880,6208,12001
21c,14,1,61215,19608,13038,22033
22a,16,1,3246,19478,3246,43440
22b,16,1,1852,17707,1809,38172
22c,16,1,4120,5272,2717,7693
22d,16,1,34849,11339,3987,236308
23a,16,1,697,4946,697,4721
23b,16,1,695,4815,166,2664
23c,16,1,713,4976,713,5512
24a,18,1,43970,29960,15216,76201
24b,18,1,1080,4126,342,5521
25a,14,1,189175,131017,100230,168502
25b,14,1,101,145,87,183
25c,14,1,347139,479281,346037,684146
26a,17,1,22418,792327,11588,3882274
26b,17,1,3222,67479,2390,94810
26c,17,1,245676,7541513,138666,42166575
33a,19,1,3976,63454,3976,63454
33b,19,1,1511,12879,1511,12879
33c,19,1,22780,45222,22780,45222
27a,21,2,13019,21264,4544,105402
27b,21,2,3773,11593,1972,11596
27c,21,2,20886,973865,6451,973024
28a,23,2,20400,59941,20400,59941
28b,23,2,3818,20269,3818,20269
28c,23,2,905,10094,905,10094
30a,21,2,53174,368077,26203,239382
30b,21,2,1140,1244,289,436822
30c,21,2,133249,1296024,133182,2000000
31a,20,2,53684,1578837,53679,1113659
31b,20,2,2848,3048,596,11916
31c,20,2,118940,3255873,16759,355491
29a,28,2,8661,28084,8661,28084
29b,28,2,4332,13393,4332,13393
29c,28,2,79634,2124698,79634,2124698
