query name,plan size,true cost,plan,median runtime (ms)
2c_3,5,1984,"['cn', 'mc', 'mk', 'k', 't']",1137.058
2c_1,5,2368,"['cn', 'mc', 't', 'mk', 'k']",1139.524
2c_6,5,2368,"['mc', 'cn', 't', 'mk', 'k']",1146.886
2c_5,5,1984,"['mc', 'cn', 'mk', 'k', 't']",1154.42
2c_4,5,3568,"['mc', 'cn', 'mk', 't', 'k']",1219.11
2c_2,5,3568,"['cn', 'mc', 'mk', 't', 'k']",1221.931
2c_35,5,190400,"['k', 'mk', 'mc', 'cn', 't']",1256.799
2c_26,5,190400,"['mk', 'k', 'mc', 'cn', 't']",1303.566
2c_34,5,232236,"['k', 'mk', 't', 'mc', 'cn']",1360.014
2c_36,5,338948,"['k', 'mk', 'mc', 't', 'cn']",1379.164
2c_27,5,338948,"['mk', 'k', 'mc', 't', 'cn']",1392.811
2c_25,5,232236,"['mk', 'k', 't', 'mc', 'cn']",1398.545
2c_16,5,2611109,"['t', 'mc', 'cn', 'mk', 'k']",2611.431
2c_9,5,2611109,"['mc', 't', 'cn', 'mk', 'k']",2788.034
2c_19,5,4714326,"['t', 'mk', 'k', 'mc', 'cn']",2899.636
2c_24,5,4714326,"['mk', 't', 'k', 'mc', 'cn']",3105.779
2c_14,5,34865234,"['mc', 'mk', 'cn', 'k', 't']",8788.333
2c_13,5,35012198,"['mc', 'mk', 'k', 'cn', 't']",8829.214
2c_12,5,35160746,"['mc', 'mk', 'k', 't', 'cn']",8878.061
2c_15,5,34866818,"['mc', 'mk', 'cn', 't', 'k']",8885.253
2c_33,5,35012198,"['mk', 'mc', 'k', 'cn', 't']",9041.923
2c_29,5,34866818,"['mk', 'mc', 'cn', 't', 'k']",9132.517
2c_28,5,34865234,"['mk', 'mc', 'cn', 'k', 't']",9155.431
2c_32,5,35160746,"['mk', 'mc', 'k', 't', 'cn']",9367.885
2c_21,5,39536124,"['t', 'mk', 'mc', 'k', 'cn']",9440.925
2c_23,5,39536124,"['mk', 't', 'mc', 'k', 'cn']",9542.345
2c_22,5,39389160,"['mk', 't', 'mc', 'cn', 'k']",9553.274
2c_20,5,39389160,"['t', 'mk', 'mc', 'cn', 'k']",9560.096
2c_17,5,37621323,"['t', 'mc', 'mk', 'k', 'cn']",9651.561
2c_18,5,37474359,"['t', 'mc', 'mk', 'cn', 'k']",9677.924
2c_7,5,37621323,"['mc', 't', 'mk', 'k', 'cn']",9884.804
2c_8,5,37474359,"['mc', 't', 'mk', 'cn', 'k']",9940.454
2c_11,5,69728868,"['mc', 'mk', 't', 'cn', 'k']",14927.751
2c_10,5,69875832,"['mc', 'mk', 't', 'k', 'cn']",15024.995
2c_30,5,69875832,"['mk', 'mc', 't', 'k', 'cn']",15705.839
2c_31,5,69728868,"['mk', 'mc', 't', 'cn', 'k']",15878.482
